id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,cabang_pelayanan,jumlah_kendaraan,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),719720,UNIT,2013
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I (CIBADAK),168624,UNIT,2013
3,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II (PELABUHAN RATU),86419,UNIT,2013
4,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,217202,UNIT,2013
5,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG I (RANCAEKEK),266444,UNIT,2013
6,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG II (SOREANG),305472,UNIT,2013
7,32,JAWA BARAT,3205,KABUPATEN GARUT,KABUPATEN GARUT,208546,UNIT,2013
8,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KABUPATEN TASIKMALAYA,150491,UNIT,2013
9,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KABUPATEN CIAMIS I,163019,UNIT,2013
10,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KABUPATEN KUNINGAN,177026,UNIT,2013
11,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON I (SUMBER),230677,UNIT,2013
12,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON II (CILEDUG),124826,UNIT,2013
13,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KABUPATEN MAJALENGKA,205267,UNIT,2013
14,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KABUPATEN SUMEDANG,158009,UNIT,2013
15,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KABUPATEN INDRAMAYU I,179072,UNIT,2013
16,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KABUPATEN INDRAMAYU II (HAURGEULIS),81467,UNIT,2013
17,32,JAWA BARAT,3213,KABUPATEN SUBANG,KABUPATEN SUBANG,206979,UNIT,2013
18,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KABUPATEN PURWAKARTA,142734,UNIT,2013
19,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KABUPATEN KARAWANG,396331,UNIT,2013
20,32,JAWA BARAT,3216,KABUPATEN BEKASI,KABUPATEN BEKASI (CIKARANG),702178,UNIT,2013
21,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KABUPATEN BANDUNG BARAT (PADALARANG),317351,UNIT,2013
22,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KABUPATEN PANGANDARAN,49262,UNIT,2013
23,32,JAWA BARAT,3271,KOTA BOGOR,KOTA BOGOR,256610,UNIT,2013
24,32,JAWA BARAT,3272,KOTA SUKABUMI,KOTA SUKABUMI,67512,UNIT,2013
25,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG I (PAJAJARAN),402852,UNIT,2013
26,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG II (KAWALUYAAN),397104,UNIT,2013
27,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG III (SOEKARNO HATTA),316523,UNIT,2013
28,32,JAWA BARAT,3274,KOTA CIREBON,KOTA CIREBON,119544,UNIT,2013
29,32,JAWA BARAT,3275,KOTA BEKASI,KOTA BEKASI,883221,UNIT,2013
30,32,JAWA BARAT,3276,KOTA DEPOK,KOTA DEPOK I,417813,UNIT,2013
31,32,JAWA BARAT,3276,KOTA DEPOK,KOTA DEPOK II (CINERE),197492,UNIT,2013
32,32,JAWA BARAT,3277,KOTA CIMAHI,KOTA CIMAHI,184091,UNIT,2013
33,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KOTA TASIKMALAYA,138350,UNIT,2013
34,32,JAWA BARAT,3279,KOTA BANJAR,KOTA BANJAR,42168,UNIT,2013
35,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),779462,UNIT,2014
36,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I (CIBADAK),184297,UNIT,2014
37,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II (PELABUHAN RATU),90248,UNIT,2014
38,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,241114,UNIT,2014
39,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG I (RANCAEKEK),286975,UNIT,2014
40,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG II (SOREANG),329677,UNIT,2014
41,32,JAWA BARAT,3205,KABUPATEN GARUT,KABUPATEN GARUT,225443,UNIT,2014
42,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KABUPATEN TASIKMALAYA,165195,UNIT,2014
43,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KABUPATEN CIAMIS I,173340,UNIT,2014
44,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KABUPATEN KUNINGAN,191580,UNIT,2014
45,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON I (SUMBER),240539,UNIT,2014
46,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON II (CILEDUG),135109,UNIT,2014
47,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KABUPATEN MAJALENGKA,218177,UNIT,2014
48,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KABUPATEN SUMEDANG,171755,UNIT,2014
49,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KABUPATEN INDRAMAYU I,183438,UNIT,2014
50,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KABUPATEN INDRAMAYU II (HAURGEULIS),83030,UNIT,2014
51,32,JAWA BARAT,3213,KABUPATEN SUBANG,KABUPATEN SUBANG,219296,UNIT,2014
52,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KABUPATEN PURWAKARTA,153002,UNIT,2014
53,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KABUPATEN KARAWANG,425049,UNIT,2014
54,32,JAWA BARAT,3216,KABUPATEN BEKASI,KABUPATEN BEKASI (CIKARANG),749700,UNIT,2014
55,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KABUPATEN BANDUNG BARAT (PADALARANG),344074,UNIT,2014
56,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KABUPATEN PANGANDARAN,52080,UNIT,2014
57,32,JAWA BARAT,3271,KOTA BOGOR,KOTA BOGOR,270290,UNIT,2014
58,32,JAWA BARAT,3272,KOTA SUKABUMI,KOTA SUKABUMI,70177,UNIT,2014
59,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG I (PAJAJARAN),415171,UNIT,2014
60,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG II (KAWALUYAAN),407605,UNIT,2014
61,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG III (SOEKARNO HATTA),331836,UNIT,2014
62,32,JAWA BARAT,3274,KOTA CIREBON,KOTA CIREBON,119673,UNIT,2014
63,32,JAWA BARAT,3275,KOTA BEKASI,KOTA BEKASI,922297,UNIT,2014
64,32,JAWA BARAT,3276,KOTA DEPOK,KOTA DEPOK I,440241,UNIT,2014
65,32,JAWA BARAT,3276,KOTA DEPOK,KOTA DEPOK II (CINERE),211392,UNIT,2014
66,32,JAWA BARAT,3277,KOTA CIMAHI,KOTA CIMAHI,196180,UNIT,2014
67,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KOTA TASIKMALAYA,146593,UNIT,2014
68,32,JAWA BARAT,3279,KOTA BANJAR,KOTA BANJAR,44638,UNIT,2014
69,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),798543,UNIT,2015
70,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I (CIBADAK),195400,UNIT,2015
71,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II (PELABUHAN RATU),94060,UNIT,2015
72,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,257090,UNIT,2015
73,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG I (RANCAEKEK),301366,UNIT,2015
74,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG II (SOREANG),350870,UNIT,2015
75,32,JAWA BARAT,3205,KABUPATEN GARUT,KABUPATEN GARUT,237371,UNIT,2015
76,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KABUPATEN TASIKMALAYA,179435,UNIT,2015
77,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KABUPATEN CIAMIS I,181292,UNIT,2015
78,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KABUPATEN KUNINGAN,207374,UNIT,2015
79,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON I (SUMBER),259588,UNIT,2015
80,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON II (CILEDUG),146855,UNIT,2015
81,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KABUPATEN MAJALENGKA,232698,UNIT,2015
82,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KABUPATEN SUMEDANG,183763,UNIT,2015
83,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KABUPATEN INDRAMAYU I,198353,UNIT,2015
84,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KABUPATEN INDRAMAYU II (HAURGEULIS),84798,UNIT,2015
85,32,JAWA BARAT,3213,KABUPATEN SUBANG,KABUPATEN SUBANG,231580,UNIT,2015
86,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KABUPATEN PURWAKARTA,161776,UNIT,2015
87,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KABUPATEN KARAWANG,444820,UNIT,2015
88,32,JAWA BARAT,3216,KABUPATEN BEKASI,KABUPATEN BEKASI (CIKARANG),775560,UNIT,2015
89,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KABUPATEN BANDUNG BARAT (PADALARANG),368265,UNIT,2015
90,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KABUPATEN PANGANDARAN,58195,UNIT,2015
91,32,JAWA BARAT,3271,KOTA BOGOR,KOTA BOGOR,277734,UNIT,2015
92,32,JAWA BARAT,3272,KOTA SUKABUMI,KOTA SUKABUMI,73627,UNIT,2015
93,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG I (PAJAJARAN),426925,UNIT,2015
94,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG II (KAWALUYAAN),418075,UNIT,2015
95,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG III (SOEKARNO HATTA),344499,UNIT,2015
96,32,JAWA BARAT,3274,KOTA CIREBON,KOTA CIREBON,123337,UNIT,2015
97,32,JAWA BARAT,3275,KOTA BEKASI,KOTA BEKASI,947892,UNIT,2015
98,32,JAWA BARAT,3276,KOTA DEPOK,KOTA DEPOK I,452434,UNIT,2015
99,32,JAWA BARAT,3276,KOTA DEPOK,KOTA DEPOK II (CINERE),220363,UNIT,2015
100,32,JAWA BARAT,3277,KOTA CIMAHI,KOTA CIMAHI,205543,UNIT,2015
101,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KOTA TASIKMALAYA,155941,UNIT,2015
102,32,JAWA BARAT,3279,KOTA BANJAR,KOTA BANJAR,46259,UNIT,2015
103,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),844633,UNIT,2016
104,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I (CIBADAK),205904,UNIT,2016
105,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II (PELABUHAN RATU),96752,UNIT,2016
106,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,276765,UNIT,2016
107,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG I (RANCAEKEK),326439,UNIT,2016
108,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG II (SOREANG),379470,UNIT,2016
109,32,JAWA BARAT,3205,KABUPATEN GARUT,KABUPATEN GARUT,255664,UNIT,2016
110,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KABUPATEN TASIKMALAYA,197868,UNIT,2016
111,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KABUPATEN CIAMIS I,194776,UNIT,2016
112,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KABUPATEN KUNINGAN,224726,UNIT,2016
113,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON I (SUMBER),290025,UNIT,2016
114,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON II (CILEDUG),144764,UNIT,2016
115,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KABUPATEN MAJALENGKA,247004,UNIT,2016
116,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KABUPATEN SUMEDANG,199797,UNIT,2016
117,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KABUPATEN INDRAMAYU I,209838,UNIT,2016
118,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KABUPATEN INDRAMAYU II (HAURGEULIS),87269,UNIT,2016
119,32,JAWA BARAT,3213,KABUPATEN SUBANG,KABUPATEN SUBANG,243474,UNIT,2016
120,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KABUPATEN PURWAKARTA,178593,UNIT,2016
121,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KABUPATEN KARAWANG,483122,UNIT,2016
122,32,JAWA BARAT,3216,KABUPATEN BEKASI,KABUPATEN BEKASI (CIKARANG),814248,UNIT,2016
123,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KABUPATEN BANDUNG BARAT (PADALARANG),403739,UNIT,2016
124,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KABUPATEN PANGANDARAN,62767,UNIT,2016
125,32,JAWA BARAT,3271,KOTA BOGOR,KOTA BOGOR,295467,UNIT,2016
126,32,JAWA BARAT,3272,KOTA SUKABUMI,KOTA SUKABUMI,78908,UNIT,2016
127,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG I (PAJAJARAN),441258,UNIT,2016
128,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG II (KAWALUYAAN),433764,UNIT,2016
129,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG III (SOEKARNO HATTA),361974,UNIT,2016
130,32,JAWA BARAT,3274,KOTA CIREBON,KOTA CIREBON,128327,UNIT,2016
131,32,JAWA BARAT,3275,KOTA BEKASI,KOTA BEKASI,983046,UNIT,2016
132,32,JAWA BARAT,3276,KOTA DEPOK,KOTA DEPOK I,480081,UNIT,2016
133,32,JAWA BARAT,3276,KOTA DEPOK,KOTA DEPOK II (CINERE),235929,UNIT,2016
134,32,JAWA BARAT,3277,KOTA CIMAHI,KOTA CIMAHI,220407,UNIT,2016
135,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KOTA TASIKMALAYA,168447,UNIT,2016
136,32,JAWA BARAT,3279,KOTA BANJAR,KOTA BANJAR,50255,UNIT,2016
137,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),869583,UNIT,2017
138,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I (CIBADAK),208120,UNIT,2017
139,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II (PELABUHAN RATU),93946,UNIT,2017
140,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,274769,UNIT,2017
141,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG I (RANCAEKEK),334392,UNIT,2017
142,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG II (SOREANG),387099,UNIT,2017
143,32,JAWA BARAT,3205,KABUPATEN GARUT,KABUPATEN GARUT,254638,UNIT,2017
144,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KABUPATEN TASIKMALAYA,201793,UNIT,2017
145,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KABUPATEN CIAMIS I,193934,UNIT,2017
146,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KABUPATEN KUNINGAN,225790,UNIT,2017
147,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON I (SUMBER),295756,UNIT,2017
148,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON II (CILEDUG),145982,UNIT,2017
149,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KABUPATEN MAJALENGKA,243924,UNIT,2017
150,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KABUPATEN SUMEDANG,203542,UNIT,2017
151,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KABUPATEN INDRAMAYU I,211782,UNIT,2017
152,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KABUPATEN INDRAMAYU II (HAURGEULIS),86257,UNIT,2017
153,32,JAWA BARAT,3213,KABUPATEN SUBANG,KABUPATEN SUBANG,245528,UNIT,2017
154,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KABUPATEN PURWAKARTA,176402,UNIT,2017
155,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KABUPATEN KARAWANG,476534,UNIT,2017
156,32,JAWA BARAT,3216,KABUPATEN BEKASI,KABUPATEN BEKASI (CIKARANG),830837,UNIT,2017
157,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KABUPATEN BANDUNG BARAT (PADALARANG),411246,UNIT,2017
158,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KABUPATEN PANGANDARAN,61827,UNIT,2017
159,32,JAWA BARAT,3271,KOTA BOGOR,KOTA BOGOR,299814,UNIT,2017
160,32,JAWA BARAT,3272,KOTA SUKABUMI,KOTA SUKABUMI,78394,UNIT,2017
161,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG I (PAJAJARAN),436412,UNIT,2017
162,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG II (KAWALUYAAN),427364,UNIT,2017
163,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG III (SOEKARNO HATTA),358296,UNIT,2017
164,32,JAWA BARAT,3274,KOTA CIREBON,KOTA CIREBON,126363,UNIT,2017
165,32,JAWA BARAT,3275,KOTA BEKASI,KOTA BEKASI,981308,UNIT,2017
166,32,JAWA BARAT,3276,KOTA DEPOK,KOTA DEPOK I,482343,UNIT,2017
167,32,JAWA BARAT,3276,KOTA DEPOK,KOTA DEPOK II (CINERE),237971,UNIT,2017
168,32,JAWA BARAT,3277,KOTA CIMAHI,KOTA CIMAHI,222224,UNIT,2017
169,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KOTA TASIKMALAYA,169733,UNIT,2017
